symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"zch11","2010-09-10T00:00:00-05:00","2010-09-10","483","492.5","480.25","491.25","77657","241588"
"zch11","2010-09-13T00:00:00-05:00","2010-09-13","490","499","489.25","496.75","56323","247293"
"zch11","2010-09-14T00:00:00-05:00","2010-09-14","496.5","508.75","493.5","508.25","69499","254945"
"zch11","2010-09-15T00:00:00-05:00","2010-09-15","506.75","511.5","505","508.5","45134","262504"
"zch11","2010-09-16T00:00:00-05:00","2010-09-16","508","510.25","502.75","508.75","53797","266911"
"zch11","2010-09-17T00:00:00-05:00","2010-09-17","509","529","509","525.75","84494","279792"
"zch11","2010-09-20T00:00:00-05:00","2010-09-20","525","535.5","520.5","521.25","83001","288241"
"zch11","2010-09-21T00:00:00-05:00","2010-09-21","520.25","530","516.25","518","42212","294651"
"zch11","2010-09-22T00:00:00-05:00","2010-09-22","517.25","524.75","513","518.25","56787","299987"
"zch11","2010-09-23T00:00:00-05:00","2010-09-23","519.25","519.5","508.25","512.25","43117","302990"
"zch11","2010-09-24T00:00:00-05:00","2010-09-24","511.75","536.25","509.75","534.25","54022","309394"
"zch11","2010-09-27T00:00:00-05:00","2010-09-27","534","541","523.5","525.25","50122","313014"
"zch11","2010-09-28T00:00:00-05:00","2010-09-28","524.5","526.25","512","512.5","35283","315644"
"zch11","2010-09-29T00:00:00-05:00","2010-09-29","512.25","518","490","517.25","47272","319288"
"zch11","2010-09-30T00:00:00-05:00","2010-09-30","517.25","520","491","508.25","78021","323674"
"zch11","2010-10-01T00:00:00-05:00","2010-10-01","507.5","507.5","478.25","478.25","91068","326639"
"zch11","2010-10-04T00:00:00-05:00","2010-10-04","472.75","485.25","466","483","59956","326027"
"zch11","2010-10-05T00:00:00-05:00","2010-10-05","483","504","476.5","501.75","58831","325515"
"zch11","2010-10-06T00:00:00-05:00","2010-10-06","501.5","506","498","499.25","41003","328245"
"zch11","2010-10-07T00:00:00-05:00","2010-10-07","499","511.5","498","507.5","98324","328751"
"zch11","2010-10-08T00:00:00-05:00","2010-10-08","506.75","537.5","504.25","537.5","52271","327146"
"zch11","2010-10-11T00:00:00-05:00","2010-10-11","582.25","582.5","563.75","565","108976","335289"
"zch11","2010-10-12T00:00:00-05:00","2010-10-12","564.25","594","563.5","588.75","107062","347725"
"zch11","2010-10-13T00:00:00-05:00","2010-10-13","587.75","597.75","576.5","580.25","82860","353417"
"zch11","2010-10-14T00:00:00-05:00","2010-10-14","579.25","590.75","577","578.5","67337","363796"
"zch11","2010-10-15T00:00:00-05:00","2010-10-15","579","586","572","575","57683","375642"
"zch11","2010-10-18T00:00:00-05:00","2010-10-18","572.75","574.75","565","569.25","37399","384100"
"zch11","2010-10-19T00:00:00-05:00","2010-10-19","569","574","554","558","88898","399390"
"zch11","2010-10-20T00:00:00-05:00","2010-10-20","558","588","555.75","585.5","77305","411020"
"zch11","2010-10-21T00:00:00-05:00","2010-10-21","584.75","591.25","573.5","575.75","70530","412762"
"zch11","2010-10-22T00:00:00-05:00","2010-10-22","575.5","582.75","571.25","572.25","50376","420839"
"zch11","2010-10-25T00:00:00-05:00","2010-10-25","573.25","587.5","572.25","581.5","62458","435772"
"zch11","2010-10-26T00:00:00-05:00","2010-10-26","580","590","574.5","584","57752","441458"
"zch11","2010-10-27T00:00:00-05:00","2010-10-27","584","592","573.5","590.25","49970","452545"
"zch11","2010-10-28T00:00:00-05:00","2010-10-28","589","598","588.5","592","104750","471012"
"zch11","2010-10-29T00:00:00-05:00","2010-10-29","591.25","596","584","595","48339","478170"
"zch11","2010-11-01T00:00:00-05:00","2010-11-01","598","603.5","589.5","590.5","68425","490531"
