symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"zcn05","2005-04-11T00:00:00-05:00","2005-04-11","213","214","212.5","214","44410","247673"
"zcn05","2005-04-12T00:00:00-05:00","2005-04-12","214","216","214","215.25","48252","263119"
"zcn05","2005-04-13T00:00:00-05:00","2005-04-13","214.75","214.75","214","214.25","51226","293126"
"zcn05","2005-04-14T00:00:00-05:00","2005-04-14","214.25","215.75","214","215.75","56769","313120"
"zcn05","2005-04-15T00:00:00-05:00","2005-04-15","215.5","216.5","214.25","214.25","36843","320514"
"zcn05","2005-04-18T00:00:00-05:00","2005-04-18","213.75","214.5","212.5","212.5","47105","330125"
"zcn05","2005-04-19T00:00:00-05:00","2005-04-19","212.75","217.75","212.5","217.75","75823","339342"
"zcn05","2005-04-20T00:00:00-05:00","2005-04-20","217.5","219","217.25","219","57529","338916"
"zcn05","2005-04-21T00:00:00-05:00","2005-04-21","218.75","219.75","217.75","219.5","45377","340881"
"zcn05","2005-04-22T00:00:00-05:00","2005-04-22","219","219.5","217.5","217.5","41653","343505"
"zcn05","2005-04-25T00:00:00-05:00","2005-04-25","218.25","223","218.25","222.25","95928","356516"
"zcn05","2005-04-26T00:00:00-05:00","2005-04-26","221.5","222.25","221","221.75","47284","361021"
"zcn05","2005-04-27T00:00:00-05:00","2005-04-27","222","222.5","217","217","77485","372192"
"zcn05","2005-04-28T00:00:00-05:00","2005-04-28","217","219","213","213","86364","381932"
"zcn05","2005-04-29T00:00:00-05:00","2005-04-29","213","213.5","212.75","213.5","60495","383129"
"zcn05","2005-05-02T00:00:00-05:00","2005-05-02","214.25","214.25","209","209","94872","391992"
"zcn05","2005-05-03T00:00:00-05:00","2005-05-03","209","209.5","205","205","112759","403368"
"zcn05","2005-05-04T00:00:00-05:00","2005-05-04","205.25","206.5","205","206","69822","405492"
"zcn05","2005-05-05T00:00:00-05:00","2005-05-05","206.75","208","206.5","208","69192","407600"
"zcn05","2005-05-06T00:00:00-05:00","2005-05-06","208.5","208.75","206.5","208.25","44769","404440"
"zcn05","2005-05-09T00:00:00-05:00","2005-05-09","209","210.25","207","207.75","46734","406564"
"zcn05","2005-05-10T00:00:00-05:00","2005-05-10","208","208.5","207.5","208.25","49495","406235"
"zcn05","2005-05-11T00:00:00-05:00","2005-05-11","208.5","209","206.5","206.5","36233","402683"
"zcn05","2005-05-12T00:00:00-05:00","2005-05-12","206.25","206.5","204.25","204.25","59620","399170"
"zcn05","2005-05-13T00:00:00-05:00","2005-05-13","204.25","204.5","203.5","203.5","35489","396581"
"zcn05","2005-05-16T00:00:00-05:00","2005-05-16","204","207","204","207","47610","394859"
"zcn05","2005-05-17T00:00:00-05:00","2005-05-17","207.25","207.75","206","207.5","32498","392182"
"zcn05","2005-05-18T00:00:00-05:00","2005-05-18","207.5","210.75","206.75","210.75","66421","391131"
"zcn05","2005-05-19T00:00:00-05:00","2005-05-19","210.75","212.5","209.5","209.5","43657","387540"
"zcn05","2005-05-20T00:00:00-05:00","2005-05-20","208.75","213.25","208.75","213.25","59773","382940"
"zcn05","2005-05-23T00:00:00-05:00","2005-05-23","214","224.5","214","224.5","187154","365180"
"zcn05","2005-05-24T00:00:00-05:00","2005-05-24","223","223.5","221.25","221.25","82515","357675"
"zcn05","2005-05-25T00:00:00-05:00","2005-05-25","220.75","223","220.75","222.75","120407","356863"
"zcn05","2005-05-26T00:00:00-05:00","2005-05-26","222","225","220.75","225","57982","357290"
"zcn05","2005-05-27T00:00:00-05:00","2005-05-27","225","227","221.25","221.25","55182","355867"
"zcn05","2005-05-31T00:00:00-05:00","2005-05-31","226","228","222","222","85412","351610"
"zcn05","2005-06-01T00:00:00-05:00","2005-06-01","221.25","224.5","220.25","224.5","65665","344817"
"zcn05","2005-06-02T00:00:00-05:00","2005-06-02","223","223.75","217","217","88187","334049"
"zcn05","2005-06-03T00:00:00-05:00","2005-06-03","216.5","218.5","215.25","218.25","59846","319177"
"zcn05","2005-06-06T00:00:00-05:00","2005-06-06","220.75","224","220.75","220.75","83074","294252"
"zcn05","2005-06-07T00:00:00-05:00","2005-06-07","219.25","222.75","218.75","220.25","70046","283569"
"zcn05","2005-06-08T00:00:00-05:00","2005-06-08","218.75","219.25","216","216","76074","268821"
"zcn05","2005-06-09T00:00:00-05:00","2005-06-09","213.25","215.5","212.5","215.5","76297","247634"
