symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"zcu13","2013-04-10T00:00:00-05:00","2013-04-10","562.5","573.5","554.25","566.75","31613","145016"
"zcu13","2013-04-11T00:00:00-05:00","2013-04-11","566.5","574.25","562.75","567","27135","147836"
"zcu13","2013-04-12T00:00:00-05:00","2013-04-12","566.75","577.25","565.5","577","20977","150648"
"zcu13","2013-04-15T00:00:00-05:00","2013-04-15","577.5","577.5","554","556.75","21834","150034"
"zcu13","2013-04-16T00:00:00-05:00","2013-04-16","556","566.75","552","566.25","12443","149565"
"zcu13","2013-04-17T00:00:00-05:00","2013-04-17","565.25","575.25","562.5","574","19541","151794"
"zcu13","2013-04-18T00:00:00-05:00","2013-04-18","573","578","565.75","566.75","19712","153656"
"zcu13","2013-04-19T00:00:00-05:00","2013-04-19","566","573.5","562.75","572","12743","154199"
"zcu13","2013-04-22T00:00:00-05:00","2013-04-22","567.75","567.75","555.25","556","15534","153008"
"zcu13","2013-04-23T00:00:00-05:00","2013-04-23","557","557.25","539.5","542.5","28737","152357"
"zcu13","2013-04-24T00:00:00-05:00","2013-04-24","542.75","547.25","536.5","546.75","18749","152172"
"zcu13","2013-04-25T00:00:00-05:00","2013-04-25","547","553.25","545.75","550.5","13166","152268"
"zcu13","2013-04-26T00:00:00-05:00","2013-04-26","550.5","551","543","544.75","11959","152148"
"zcu13","2013-04-29T00:00:00-05:00","2013-04-29","552","584.75","552","584.75","41825","151643"
"zcu13","2013-04-30T00:00:00-05:00","2013-04-30","585.25","596.75","579","580.25","35739","154793"
"zcu13","2013-05-01T00:00:00-05:00","2013-05-01","577","579","565.75","573","26993","154644"
"zcu13","2013-05-02T00:00:00-05:00","2013-05-02","571.5","584.75","570","583.75","29513","155480"
"zcu13","2013-05-03T00:00:00-05:00","2013-05-03","582.75","585.5","578","579.25","22568","155951"
"zcu13","2013-05-06T00:00:00-05:00","2013-05-06","567","567","555","559.75","33017","156856"
"zcu13","2013-05-07T00:00:00-05:00","2013-05-07","562.75","564","554","561.5","31698","158636"
"zcu13","2013-05-08T00:00:00-05:00","2013-05-08","560.5","562.25","549.75","553.75","26083","158014"
"zcu13","2013-05-09T00:00:00-05:00","2013-05-09","553.5","567.75","548.25","566","30350","157953"
"zcu13","2013-05-10T00:00:00-05:00","2013-05-10","564.75","564.75","546","554.5","43439","160779"
"zcu13","2013-05-13T00:00:00-05:00","2013-05-13","550.75","572.25","550.75","568.5","60303","159634"
"zcu13","2013-05-14T00:00:00-05:00","2013-05-14","568.5","573.25","564.75","569.75","26569","159411"
"zcu13","2013-05-15T00:00:00-05:00","2013-05-15","569.75","571.75","561.75","563.5","27228","158805"
"zcu13","2013-05-16T00:00:00-05:00","2013-05-16","562.75","565.75","553.25","553.75","27051","160482"
"zcu13","2013-05-17T00:00:00-05:00","2013-05-17","553.75","558.5","548","556","38425","162167"
"zcu13","2013-05-20T00:00:00-05:00","2013-05-20","555","561","549","554.5","29158","162977"
"zcu13","2013-05-21T00:00:00-05:00","2013-05-21","547","548","538.5","546.75","49179","162972"
"zcu13","2013-05-22T00:00:00-05:00","2013-05-22","546.75","561.25","546.25","559.75","38825","162708"
"zcu13","2013-05-23T00:00:00-05:00","2013-05-23","559.25","567","554","563.5","31162","163370"
"zcu13","2013-05-24T00:00:00-05:00","2013-05-24","561.25","567.5","555","566.75","28482","166062"
"zcu13","2013-05-28T00:00:00-05:00","2013-05-28","571.25","585","570.75","583.75","37051","168119"
"zcu13","2013-05-29T00:00:00-05:00","2013-05-29","583","595.5","577.25","593.75","65226","169466"
"zcu13","2013-05-30T00:00:00-05:00","2013-05-30","591.75","595.5","584.75","591.75","45635","177329"
"zcu13","2013-05-31T00:00:00-05:00","2013-05-31","590.75","601","587.25","597.25","40784","180311"
"zcu13","2013-06-03T00:00:00-05:00","2013-06-03","595.25","604","578.5","588.75","51504","183082"
"zcu13","2013-06-04T00:00:00-05:00","2013-06-04","589","589","576.75","583.75","37275","183634"
"zcu13","2013-06-05T00:00:00-05:00","2013-06-05","583.5","584","570.25","571","50257","186385"
"zcu13","2013-06-06T00:00:00-05:00","2013-06-06","570.75","579.75","569.25","578","34845","188952"
"zcu13","2013-06-07T00:00:00-05:00","2013-06-07","578","593.25","577.25","591.5","69280","213019"
"zcu13","2013-06-10T00:00:00-05:00","2013-06-10","586","588","571","577.25","61829","232142"
"zcu13","2013-06-11T00:00:00-05:00","2013-06-11","576.25","584.5","573.5","583.5","65925","253974"
"zcu13","2013-06-12T00:00:00-05:00","2013-06-12","583.25","584.75","566.75","575","91581","277795"
"zcu13","2013-06-13T00:00:00-05:00","2013-06-13","575.75","576.25","565.25","570.5","91044","305365"
"zcu13","2013-06-14T00:00:00-05:00","2013-06-14","570","575.25","567.5","571.75","65813","316354"
"zcu13","2013-06-17T00:00:00-05:00","2013-06-17","567.75","582.25","564.75","578.75","58614","321795"
"zcu13","2013-06-18T00:00:00-05:00","2013-06-18","578.5","589.75","576","589","86756","326928"
"zcu13","2013-06-19T00:00:00-05:00","2013-06-19","587","610.5","584.75","610","104551","334493"
"zcu13","2013-06-20T00:00:00-05:00","2013-06-20","605.5","606","588.5","598.25","73805","341610"
"zcu13","2013-06-21T00:00:00-05:00","2013-06-21","597.75","599.75","590","592","66651","346663"
"zcu13","2013-06-24T00:00:00-05:00","2013-06-24","586","586.5","578","579","54993","347065"
"zcu13","2013-06-25T00:00:00-05:00","2013-06-25","579","583.75","572.75","576.5","59218","346555"
"zcu13","2013-06-26T00:00:00-05:00","2013-06-26","577","581","573.25","574","80798","350179"
"zcu13","2013-06-27T00:00:00-05:00","2013-06-27","575","575.25","570","572.25","98323","354286"
"zcu13","2013-06-28T00:00:00-05:00","2013-06-28","571.75","574.25","540.5","547.25","128001","352758"
"zcu13","2013-07-01T00:00:00-05:00","2013-07-01","546","546","531","531.5","90633","355767"
"zcu13","2013-07-02T00:00:00-05:00","2013-07-02","532","535.25","527.25","533","75571","356247"
"zcu13","2013-07-03T00:00:00-05:00","2013-07-03","535","539.25","527.5","532.25","59879","357784"
"zcu13","2013-07-05T00:00:00-05:00","2013-07-05","534","539","525.5","525.75","45934","354653"
"zcu13","2013-07-08T00:00:00-05:00","2013-07-08","525.75","536","525","533.25","46343","355452"
"zcu13","2013-07-09T00:00:00-05:00","2013-07-09","534.75","554.75","534.5","551.75","71327","358561"
"zcu13","2013-07-10T00:00:00-05:00","2013-07-10","551","558","548.25","553.75","62905","353799"
"zcu13","2013-07-11T00:00:00-05:00","2013-07-11","553.75","563.5","545.5","560.75","71818","354147"
"zcu13","2013-07-12T00:00:00-05:00","2013-07-12","560","560.75","543.5","545.5","59827","353398"
"zcu13","2013-07-15T00:00:00-05:00","2013-07-15","542.5","543.75","534.5","536.25","50492","355278"
"zcu13","2013-07-16T00:00:00-05:00","2013-07-16","540","549.75","539","545.25","55368","352252"
"zcu13","2013-07-17T00:00:00-05:00","2013-07-17","546.25","549","537.75","538.5","45385","351184"
"zcu13","2013-07-18T00:00:00-05:00","2013-07-18","537.5","542.5","532","541","69576","353642"
"zcu13","2013-07-19T00:00:00-05:00","2013-07-19","539.75","545.5","536.75","544","77722","361063"
"zcu13","2013-07-22T00:00:00-05:00","2013-07-22","544.25","545","536.25","540.75","49041","363753"
"zcu13","2013-07-23T00:00:00-05:00","2013-07-23","539.25","539.25","521.5","522.5","92858","364928"
"zcu13","2013-07-24T00:00:00-05:00","2013-07-24","522.5","524.25","507.75","508.25","103138","362923"
"zcu13","2013-07-25T00:00:00-05:00","2013-07-25","508.5","510.75","492.25","496","126368","363324"
"zcu13","2013-07-26T00:00:00-05:00","2013-07-26","495.25","499.75","490.75","492","65924","354108"
"zcu13","2013-07-29T00:00:00-05:00","2013-07-29","492","497.5","488.25","489.25","64514","348688"
"zcu13","2013-07-30T00:00:00-05:00","2013-07-30","489.75","497.25","489.5","495.5","64592","344423"
"zcu13","2013-07-31T00:00:00-05:00","2013-07-31","495.5","499.5","493","499","76256","326719"
"zcu13","2013-08-01T00:00:00-05:00","2013-08-01","499","499.75","486.5","487.5","68277","318330"
"zcu13","2013-08-02T00:00:00-05:00","2013-08-02","487.5","489.25","475.25","476","83417","311549"
"zcu13","2013-08-05T00:00:00-05:00","2013-08-05","473","475","465.5","469.25","74631","306596"
