symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"zcz02","2002-04-10T00:00:00-05:00","2002-04-10","222.25","222.75","221.25","221.25","14412","82964"
"zcz02","2002-04-11T00:00:00-05:00","2002-04-11","221.75","221.75","220.5","220.5","4346","82639"
"zcz02","2002-04-12T00:00:00-05:00","2002-04-12","220","220.5","219","219","22124","83848"
"zcz02","2002-04-15T00:00:00-05:00","2002-04-15","219.25","219.5","217.75","217.75","5146","83455"
"zcz02","2002-04-16T00:00:00-05:00","2002-04-16","218","219.25","217.75","219.25","6885","84134"
"zcz02","2002-04-17T00:00:00-05:00","2002-04-17","220","221","219.5","221","8991","83928"
"zcz02","2002-04-18T00:00:00-05:00","2002-04-18","220.75","221.5","219.25","219.25","9130","83037"
"zcz02","2002-04-19T00:00:00-05:00","2002-04-19","219","220","217","217","13890","85361"
"zcz02","2002-04-22T00:00:00-05:00","2002-04-22","217.5","218.5","217.5","218.5","8358","85785"
"zcz02","2002-04-23T00:00:00-05:00","2002-04-23","218.5","219.25","218.25","219.25","6900","87151"
"zcz02","2002-04-24T00:00:00-05:00","2002-04-24","219.25","220","218.5","218.5","6038","87956"
"zcz02","2002-04-25T00:00:00-05:00","2002-04-25","218.5","219.25","218.5","218.5","6587","88856"
"zcz02","2002-04-26T00:00:00-05:00","2002-04-26","218.25","219.75","218.25","218.75","9960","90320"
"zcz02","2002-04-29T00:00:00-05:00","2002-04-29","220.75","221","217","217","10632","91009"
"zcz02","2002-04-30T00:00:00-05:00","2002-04-30","217","218","217","217.25","6419","91867"
"zcz02","2002-05-01T00:00:00-05:00","2002-05-01","217.5","219.75","217.5","219.75","7023","91831"
"zcz02","2002-05-02T00:00:00-05:00","2002-05-02","219.5","220.25","217","217","8119","92288"
"zcz02","2002-05-03T00:00:00-05:00","2002-05-03","216.75","217.75","216.75","217.75","5130","92294"
"zcz02","2002-05-06T00:00:00-05:00","2002-05-06","216.25","217.5","215.75","217.5","13337","95385"
"zcz02","2002-05-07T00:00:00-05:00","2002-05-07","218","221.5","218","221.5","16826","97776"
"zcz02","2002-05-08T00:00:00-05:00","2002-05-08","221.5","221.5","220.5","221.25","8889","98250"
"zcz02","2002-05-09T00:00:00-05:00","2002-05-09","221","222.25","221","221.75","9416","98023"
"zcz02","2002-05-10T00:00:00-05:00","2002-05-10","221.75","222","221.5","222","10817","98835"
"zcz02","2002-05-13T00:00:00-05:00","2002-05-13","224","230.5","224","230.5","29219","104991"
"zcz02","2002-05-14T00:00:00-05:00","2002-05-14","228.5","230.75","228","230.75","27532","108590"
"zcz02","2002-05-15T00:00:00-05:00","2002-05-15","230.5","231.75","230.5","231.75","16221","110404"
"zcz02","2002-05-16T00:00:00-05:00","2002-05-16","231.75","231.75","228.5","228.5","14573","111873"
"zcz02","2002-05-17T00:00:00-05:00","2002-05-17","228.5","229","224.25","224.25","17064","114451"
"zcz02","2002-05-20T00:00:00-05:00","2002-05-20","224","226.5","224","226.5","8691","115753"
"zcz02","2002-05-21T00:00:00-05:00","2002-05-21","227.5","228.5","226.25","226.25","13120","116929"
