symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"zsh16","2015-09-10T00:00:00-05:00","2015-09-10","877.5","885","874.25","879.5","12630","87343"
"zsh16","2015-09-11T00:00:00-05:00","2015-09-11","880.5","884","859.75","879","16962","86833"
"zsh16","2015-09-14T00:00:00-05:00","2015-09-14","879","892.75","879","889","13452","86355"
"zsh16","2015-09-15T00:00:00-05:00","2015-09-15","892","898.75","888.25","893.5","11353","86745"
"zsh16","2015-09-16T00:00:00-05:00","2015-09-16","892.75","899.25","888.5","893.25","14891","88120"
"zsh16","2015-09-17T00:00:00-05:00","2015-09-17","893","895.5","887.25","892","8974","88973"
"zsh16","2015-09-18T00:00:00-05:00","2015-09-18","891.5","893.5","874.75","874.75","12022","89572"
"zsh16","2015-09-21T00:00:00-05:00","2015-09-21","875","884.75","872.5","882.25","12686","90948"
"zsh16","2015-09-22T00:00:00-05:00","2015-09-22","879.75","882","870.5","871","23064","90042"
"zsh16","2015-09-23T00:00:00-05:00","2015-09-23","871","878.5","870.5","872.5","19009","91098"
"zsh16","2015-09-24T00:00:00-05:00","2015-09-24","872.5","877.75","866.75","876.75","13806","92510"
"zsh16","2015-09-25T00:00:00-05:00","2015-09-25","877","898","877","897.5","15759","93706"
"zsh16","2015-09-28T00:00:00-05:00","2015-09-28","897","900","884.5","885.25","14174","92935"
"zsh16","2015-09-29T00:00:00-05:00","2015-09-29","885","891.75","882.25","890.75","14496","93404"
"zsh16","2015-09-30T00:00:00-05:00","2015-09-30","889.75","908.5","887.75","897.25","26953","95269"
"zsh16","2015-10-01T00:00:00-05:00","2015-10-01","897","904","884.5","884.75","24992","94461"
"zsh16","2015-10-02T00:00:00-05:00","2015-10-02","884.75","890.25","876.5","882","23849","93268"
"zsh16","2015-10-05T00:00:00-05:00","2015-10-05","882.25","893.25","880.25","891.25","29602","97972"
"zsh16","2015-10-06T00:00:00-05:00","2015-10-06","886.5","902.75","886.25","895.25","21599","100952"
"zsh16","2015-10-07T00:00:00-05:00","2015-10-07","894","903.25","893.25","898.75","15809","100251"
"zsh16","2015-10-08T00:00:00-05:00","2015-10-08","898.25","899.25","888.25","890","23771","101613"
"zsh16","2015-10-09T00:00:00-05:00","2015-10-09","889","905","880","894.25","27401","103273"
"zsh16","2015-10-12T00:00:00-05:00","2015-10-12","894.25","902.5","893.75","896","15246","103964"
"zsh16","2015-10-13T00:00:00-05:00","2015-10-13","894.75","922.25","894.5","921.25","37750","104846"
"zsh16","2015-10-14T00:00:00-05:00","2015-10-14","919","926","915.5","917","27130","105662"
"zsh16","2015-10-15T00:00:00-05:00","2015-10-15","915.25","921.25","911","912.25","31328","106061"
"zsh16","2015-10-16T00:00:00-05:00","2015-10-16","910.75","917.5","904.5","905.5","23449","107018"
"zsh16","2015-10-19T00:00:00-05:00","2015-10-19","903.5","907.25","898","898.5","20914","111956"
"zsh16","2015-10-20T00:00:00-05:00","2015-10-20","897.75","909","897","904","32458","116642"
"zsh16","2015-10-21T00:00:00-05:00","2015-10-21","902.75","913.25","901.75","911.5","40011","119755"
"zsh16","2015-10-22T00:00:00-05:00","2015-10-22","911","917","901.75","902.75","38769","120947"
"zsh16","2015-10-23T00:00:00-05:00","2015-10-23","902.75","905","894.5","898.25","29661","122816"
"zsh16","2015-10-26T00:00:00-05:00","2015-10-26","897.75","902.5","885","886.75","39480","124991"
"zsh16","2015-10-27T00:00:00-05:00","2015-10-27","888","896.75","882.5","893.5","26550","126342"
"zsh16","2015-10-28T00:00:00-05:00","2015-10-28","892.5","894","885.75","886.5","31746","128193"
"zsh16","2015-10-29T00:00:00-05:00","2015-10-29","886.25","890","879.25","883.25","43166","131345"
"zsh16","2015-10-30T00:00:00-05:00","2015-10-30","882.75","890.5","882.25","888.75","23344","133486"
"zsh16","2015-11-02T00:00:00-06:00","2015-11-02","890","893.25","881.25","881.5","25926","135083"
"zsh16","2015-11-03T00:00:00-06:00","2015-11-03","881.5","888.5","877.5","881.25","26853","135922"
"zsh16","2015-11-04T00:00:00-06:00","2015-11-04","881","889.5","881","886.5","27465","134441"
"zsh16","2015-11-05T00:00:00-06:00","2015-11-05","886","887.5","865.25","866.25","31033","135318"
"zsh16","2015-11-06T00:00:00-06:00","2015-11-06","866.75","870.5","860.25","869.5","23808","136314"
"zsh16","2015-11-09T00:00:00-06:00","2015-11-09","869.75","873.25","867","867.25","27747","138477"
"zsh16","2015-11-10T00:00:00-06:00","2015-11-10","866.75","869.25","850.5","855.5","51684","144966"
"zsh16","2015-11-11T00:00:00-06:00","2015-11-11","856.5","861.5","853.5","860.5","37268","148960"
"zsh16","2015-11-12T00:00:00-06:00","2015-11-12","859.25","865.75","854.25","864","40030","145715"
"zsh16","2015-11-13T00:00:00-06:00","2015-11-13","863.25","863.25","855.5","856.25","27289","146949"
"zsh16","2015-11-16T00:00:00-06:00","2015-11-16","855.25","861.5","852.75","860.75","24166","148324"
"zsh16","2015-11-17T00:00:00-06:00","2015-11-17","860.75","866","859","865","24535","148491"
"zsh16","2015-11-18T00:00:00-06:00","2015-11-18","865","868.5","855.75","860.75","59318","149096"
"zsh16","2015-11-19T00:00:00-06:00","2015-11-19","860.75","865","855","863","40275","148980"
"zsh16","2015-11-20T00:00:00-06:00","2015-11-20","863","863.75","855.25","860.5","48670","150837"
"zsh16","2015-11-23T00:00:00-06:00","2015-11-23","858.25","867","847","866.25","54228","152706"
"zsh16","2015-11-24T00:00:00-06:00","2015-11-24","866","870.75","863","866.25","35920","151720"
"zsh16","2015-11-25T00:00:00-06:00","2015-11-25","865.5","878.5","863.25","877.75","39857","154887"
"zsh16","2015-11-27T00:00:00-06:00","2015-11-27","876.5","879.75","873.5","875.5","22277","157701"
"zsh16","2015-11-30T00:00:00-06:00","2015-11-30","875.25","885.75","872.25","883.25","43850","158577"
"zsh16","2015-12-01T00:00:00-06:00","2015-12-01","883","894","881.75","891.5","45748","162383"
"zsh16","2015-12-02T00:00:00-06:00","2015-12-02","891","897.25","887","895","50904","164656"
"zsh16","2015-12-03T00:00:00-06:00","2015-12-03","893.75","900.5","887.5","900.25","58448","172687"
"zsh16","2015-12-04T00:00:00-06:00","2015-12-04","899.5","908.5","895","908","60077","182255"
"zsh16","2015-12-07T00:00:00-06:00","2015-12-07","907.75","911.5","884.75","885.75","87948","193528"
"zsh16","2015-12-08T00:00:00-06:00","2015-12-08","888.5","890.25","876.25","879.75","76084","204373"
"zsh16","2015-12-09T00:00:00-06:00","2015-12-09","880","886.75","872.5","879.75","67568","211683"
"zsh16","2015-12-10T00:00:00-06:00","2015-12-10","879.5","889.5","875.75","881.25","53303","221833"
"zsh16","2015-12-11T00:00:00-06:00","2015-12-11","881","887.75","873","873.75","79378","233711"
"zsh16","2015-12-14T00:00:00-06:00","2015-12-14","873.25","879.75","870.75","876","70264","245620"
"zsh16","2015-12-15T00:00:00-06:00","2015-12-15","874.75","879.25","867","867.75","81127","253998"
"zsh16","2015-12-16T00:00:00-06:00","2015-12-16","867.5","871.25","856.75","863.25","114126","260363"
"zsh16","2015-12-17T00:00:00-06:00","2015-12-17","860.75","879","854.25","877.75","130846","272164"
"zsh16","2015-12-18T00:00:00-06:00","2015-12-18","877.75","894.5","873.5","892.75","131109","280079"
"zsh16","2015-12-21T00:00:00-06:00","2015-12-21","892.75","897","887.5","891.5","74832","285880"
"zsh16","2015-12-22T00:00:00-06:00","2015-12-22","891","895.5","885.25","885.5","81474","291336"
"zsh16","2015-12-23T00:00:00-06:00","2015-12-23","885.5","888.75","880.25","880.75","83024","292585"
"zsh16","2015-12-24T00:00:00-06:00","2015-12-24","882","884.5","872.75","873","64618","292712"
"zsh16","2015-12-28T00:00:00-06:00","2015-12-28","871","871.5","860.5","861.25","94047","295655"
"zsh16","2015-12-29T00:00:00-06:00","2015-12-29","863","872","861","865.75","114422","303007"
"zsh16","2015-12-30T00:00:00-06:00","2015-12-30","865.5","873.5","864","870.25","98488","309307"
"zsh16","2015-12-31T00:00:00-06:00","2015-12-31","868.75","873","863","864.25","63736","314987"
"zsh16","2016-01-04T00:00:00-06:00","2016-01-04","863","867","853.25","856","95915","317784"
"zsh16","2016-01-05T00:00:00-06:00","2016-01-05","858.25","864.75","855.5","857.25","106929","323192"
"zsh16","2016-01-06T00:00:00-06:00","2016-01-06","856.5","868","852","864.75","135361","328373"
"zsh16","2016-01-07T00:00:00-06:00","2016-01-07","864.5","868.75","858.25","864.5","101199","329808"
"zsh16","2016-01-08T00:00:00-06:00","2016-01-08","865","871","863.5","865.25","96117","328721"
"zsh16","2016-01-11T00:00:00-06:00","2016-01-11","865.5","869.75","859.5","861.25","101350","323813"
"zsh16","2016-01-12T00:00:00-06:00","2016-01-12","861.25","881.25","857.25","874.5","197414","329114"
"zsh16","2016-01-13T00:00:00-06:00","2016-01-13","875","880.75","871","880","109920","322447"
"zsh16","2016-01-14T00:00:00-06:00","2016-01-14","879","884.5","874.75","882.25","114563","316595"
"zsh16","2016-01-15T00:00:00-06:00","2016-01-15","882.25","882.75","871","879","113008","311236"
"zsh16","2016-01-19T00:00:00-06:00","2016-01-19","881","888","880.5","883.5","120808","306935"
"zsh16","2016-01-20T00:00:00-06:00","2016-01-20","882","883.75","870.5","874","137886","302941"
"zsh16","2016-01-21T00:00:00-06:00","2016-01-21","874.5","885.75","872.25","878.5","147352","303866"
"zsh16","2016-01-22T00:00:00-06:00","2016-01-22","879","886.5","874.5","876.5","101537","300020"
"zsh16","2016-01-25T00:00:00-06:00","2016-01-25","876.5","882","870.75","880.5","115141","297831"
"zsh16","2016-01-26T00:00:00-06:00","2016-01-26","879.75","882.5","875.5","876.5","95467","297197"
"zsh16","2016-01-27T00:00:00-06:00","2016-01-27","876","885","875.5","883","120976","303513"
"zsh16","2016-01-28T00:00:00-06:00","2016-01-28","882.5","884.25","867.25","867.75","151110","302591"
"zsh16","2016-01-29T00:00:00-06:00","2016-01-29","868.75","883","867","882.25","137841","300555"
"zsh16","2016-02-01T00:00:00-06:00","2016-02-01","883","883.25","876","880.75","101524","296117"
"zsh16","2016-02-02T00:00:00-06:00","2016-02-02","880.25","889.5","878.25","886.25","142056","299142"
