symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"zsn02","2002-04-10T00:00:00-05:00","2002-04-10","463","464","461.5","461.5","21149","69167"
"zsn02","2002-04-11T00:00:00-05:00","2002-04-11","461","462","459.5","460","18893","70641"
"zsn02","2002-04-12T00:00:00-05:00","2002-04-12","460","463.25","456.5","463.25","27583","71804"
"zsn02","2002-04-15T00:00:00-05:00","2002-04-15","463","464","458.75","458.75","26685","72540"
"zsn02","2002-04-16T00:00:00-05:00","2002-04-16","458.75","466.75","458.5","466.75","33385","71592"
"zsn02","2002-04-17T00:00:00-05:00","2002-04-17","465.25","475.5","464.25","475.5","45155","74581"
"zsn02","2002-04-18T00:00:00-05:00","2002-04-18","474.5","475","472.5","472.5","27552","76326"
"zsn02","2002-04-19T00:00:00-05:00","2002-04-19","472","474.25","472","474.25","35472","77210"
"zsn02","2002-04-22T00:00:00-05:00","2002-04-22","474.75","478","472.75","472.75","27001","78284"
"zsn02","2002-04-23T00:00:00-05:00","2002-04-23","472.25","477","471.25","477","23120","79757"
"zsn02","2002-04-24T00:00:00-05:00","2002-04-24","478.25","483.25","478","483.25","43734","83521"
"zsn02","2002-04-25T00:00:00-05:00","2002-04-25","483","484.5","476.5","476.5","35282","84494"
"zsn02","2002-04-26T00:00:00-05:00","2002-04-26","476.25","477.75","476","477.25","40892","81744"
"zsn02","2002-04-29T00:00:00-05:00","2002-04-29","470","470.5","465.5","465.5","38486","82217"
"zsn02","2002-04-30T00:00:00-05:00","2002-04-30","465.5","467","465.5","466.75","26424","83067"
"zsn02","2002-05-01T00:00:00-05:00","2002-05-01","466.5","467.75","464.25","464.25","19333","83232"
"zsn02","2002-05-02T00:00:00-05:00","2002-05-02","464.25","465.25","463.75","463.75","23549","81810"
"zsn02","2002-05-03T00:00:00-05:00","2002-05-03","463.25","463.5","461.25","461.25","34325","81820"
"zsn02","2002-05-06T00:00:00-05:00","2002-05-06","460","462.75","459","462.75","26676","83703"
"zsn02","2002-05-07T00:00:00-05:00","2002-05-07","462.75","465.5","462.25","465.5","19338","81543"
"zsn02","2002-05-08T00:00:00-05:00","2002-05-08","465.5","472","465","472","37926","82776"
"zsn02","2002-05-09T00:00:00-05:00","2002-05-09","471.5","476.25","471.5","476.25","31662","82374"
"zsn02","2002-05-10T00:00:00-05:00","2002-05-10","476","476.5","470.75","470.75","35603","83061"
"zsn02","2002-05-13T00:00:00-05:00","2002-05-13","472","477.5","472","477.5","34279","84805"
"zsn02","2002-05-14T00:00:00-05:00","2002-05-14","475.75","476.25","475.25","476","22552","83828"
"zsn02","2002-05-15T00:00:00-05:00","2002-05-15","476","482","475.25","482","35073","86680"
"zsn02","2002-05-16T00:00:00-05:00","2002-05-16","481","484.75","479.75","484.75","42471","88484"
"zsn02","2002-05-17T00:00:00-05:00","2002-05-17","484.75","487.5","484.5","487.5","33897","89344"
"zsn02","2002-05-20T00:00:00-05:00","2002-05-20","485","491.25","484.5","491.25","37469","92242"
"zsn02","2002-05-21T00:00:00-05:00","2002-05-21","491.75","492.25","490.5","490.5","29150","92369"
"zsn02","2002-05-22T00:00:00-05:00","2002-05-22","490.5","495.5","489.5","493","38165","93064"
"zsn02","2002-05-23T00:00:00-05:00","2002-05-23","493.5","493.75","491.5","491.5","28805","92939"
