symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"zsu02","2002-04-10T00:00:00-05:00","2002-04-10","452","452","452","452","924","3746"
"zsu02","2002-04-11T00:00:00-05:00","2002-04-11","453","453","453","453","821","3907"
"zsu02","2002-04-12T00:00:00-05:00","2002-04-12","457.75","457.75","457.75","457.75","679","4001"
"zsu02","2002-04-15T00:00:00-05:00","2002-04-15","453.25","453.25","453.25","453.25","66","4031"
"zsu02","2002-04-16T00:00:00-05:00","2002-04-16","462.75","462.75","462.75","462.75","85","4049"
"zsu02","2002-04-17T00:00:00-05:00","2002-04-17","463.5","468","463.5","468","1194","4578"
"zsu02","2002-04-18T00:00:00-05:00","2002-04-18","464","464","464","464","304","4631"
"zsu02","2002-04-19T00:00:00-05:00","2002-04-19","466.75","466.75","466.75","466.75","583","4712"
"zsu02","2002-04-22T00:00:00-05:00","2002-04-22","464","467.25","464","464","469","4992"
"zsu02","2002-04-23T00:00:00-05:00","2002-04-23","469","469","469","469","217","5111"
"zsu02","2002-04-24T00:00:00-05:00","2002-04-24","471.75","471.75","471.75","471.75","1018","5629"
"zsu02","2002-04-25T00:00:00-05:00","2002-04-25","465.25","465.25","465.25","465.25","1766","5999"
"zsu02","2002-04-26T00:00:00-05:00","2002-04-26","460.5","460.5","460.5","460.5","974","6357"
"zsu02","2002-04-29T00:00:00-05:00","2002-04-29","456.75","456.75","456.75","456.75","693","6109"
"zsu02","2002-04-30T00:00:00-05:00","2002-04-30","457.25","457.25","457.25","457.25","543","6401"
"zsu02","2002-05-01T00:00:00-05:00","2002-05-01","456.5","456.5","456.5","456.5","218","6472"
"zsu02","2002-05-02T00:00:00-05:00","2002-05-02","455.25","455.25","455.25","455.25","152","6419"
"zsu02","2002-05-03T00:00:00-05:00","2002-05-03","453.5","453.5","453.5","453.5","365","6574"
"zsu02","2002-05-06T00:00:00-05:00","2002-05-06","453.5","453.5","453.5","453.5","497","6574"
"zsu02","2002-05-07T00:00:00-05:00","2002-05-07","456.25","456.25","456.25","456.25","402","6628"
"zsu02","2002-05-08T00:00:00-05:00","2002-05-08","463.25","463.25","463.25","463.25","513","6626"
"zsu02","2002-05-09T00:00:00-05:00","2002-05-09","469.25","469.25","469.25","469.25","834","6826"
"zsu02","2002-05-10T00:00:00-05:00","2002-05-10","463","463","463","463","545","6886"
"zsu02","2002-05-13T00:00:00-05:00","2002-05-13","466","467.75","466","467.75","581","7026"
"zsu02","2002-05-14T00:00:00-05:00","2002-05-14","465.25","465.25","465.25","465.25","240","7005"
"zsu02","2002-05-15T00:00:00-05:00","2002-05-15","470.75","470.75","470.75","470.75","748","7283"
"zsu02","2002-05-16T00:00:00-05:00","2002-05-16","471.75","471.75","471.75","471.75","2254","7900"
"zsu02","2002-05-17T00:00:00-05:00","2002-05-17","473","473","473","473","2171","8532"
"zsu02","2002-05-20T00:00:00-05:00","2002-05-20","477.75","477.75","477.75","477.75","742","8521"
"zsu02","2002-05-21T00:00:00-05:00","2002-05-21","477","480.5","476.5","476.5","310","8482"
