symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"zsx13","2013-04-10T00:00:00-05:00","2013-04-10","1241","1248","1230.75","1237.5","24626","140319"
"zsx13","2013-04-11T00:00:00-05:00","2013-04-11","1236.75","1237.25","1225","1226.75","30481","141940"
"zsx13","2013-04-12T00:00:00-05:00","2013-04-12","1225","1233.75","1223.5","1231.75","24209","144380"
"zsx13","2013-04-15T00:00:00-05:00","2013-04-15","1233","1233","1205","1206.75","31292","145384"
"zsx13","2013-04-16T00:00:00-05:00","2013-04-16","1206.75","1220","1202.25","1218.5","23547","147756"
"zsx13","2013-04-17T00:00:00-05:00","2013-04-17","1217.25","1225","1209.5","1218","25587","152549"
"zsx13","2013-04-18T00:00:00-05:00","2013-04-18","1215.5","1229.25","1214","1223.5","28432","153516"
"zsx13","2013-04-19T00:00:00-05:00","2013-04-19","1223.5","1228.5","1211.75","1213","20218","157919"
"zsx13","2013-04-22T00:00:00-05:00","2013-04-22","1210.5","1212","1194.5","1202.75","25111","161224"
"zsx13","2013-04-23T00:00:00-05:00","2013-04-23","1203","1209","1190.5","1196.25","32267","166937"
"zsx13","2013-04-24T00:00:00-05:00","2013-04-24","1195.25","1200.75","1186.5","1193.75","29750","170919"
"zsx13","2013-04-25T00:00:00-05:00","2013-04-25","1193.25","1207.25","1193.25","1206.25","26948","172387"
"zsx13","2013-04-26T00:00:00-05:00","2013-04-26","1204.25","1212","1197.25","1210.25","31167","171729"
"zsx13","2013-04-29T00:00:00-05:00","2013-04-29","1210","1231.75","1206","1229.25","36650","172999"
"zsx13","2013-04-30T00:00:00-05:00","2013-04-30","1228","1240.25","1219.5","1223.5","35137","176130"
"zsx13","2013-05-01T00:00:00-05:00","2013-05-01","1222.5","1224.25","1200.75","1209.25","31127","180433"
"zsx13","2013-05-02T00:00:00-05:00","2013-05-02","1208.25","1213","1202.25","1204","22853","182906"
"zsx13","2013-05-03T00:00:00-05:00","2013-05-03","1203.75","1225.5","1203.5","1221.25","27911","185385"
"zsx13","2013-05-06T00:00:00-05:00","2013-05-06","1215","1223","1204","1207.25","25367","186514"
"zsx13","2013-05-07T00:00:00-05:00","2013-05-07","1207","1216","1205","1214.5","21073","188020"
"zsx13","2013-05-08T00:00:00-05:00","2013-05-08","1214","1221.5","1206.5","1214.25","33554","188606"
"zsx13","2013-05-09T00:00:00-05:00","2013-05-09","1213.75","1220","1207.5","1219","30115","190296"
"zsx13","2013-05-10T00:00:00-05:00","2013-05-10","1219","1224.5","1197.25","1205.5","45547","192859"
"zsx13","2013-05-13T00:00:00-05:00","2013-05-13","1202","1215","1201","1209.75","33701","193826"
"zsx13","2013-05-14T00:00:00-05:00","2013-05-14","1209.75","1218","1203.25","1214","35065","199964"
"zsx13","2013-05-15T00:00:00-05:00","2013-05-15","1214","1221","1205.75","1209.75","31751","204038"
"zsx13","2013-05-16T00:00:00-05:00","2013-05-16","1208.5","1221","1206","1217.5","37388","207945"
"zsx13","2013-05-17T00:00:00-05:00","2013-05-17","1216","1229","1211.5","1228.25","43315","210196"
"zsx13","2013-05-20T00:00:00-05:00","2013-05-20","1225.5","1229","1210.75","1225","49729","209510"
"zsx13","2013-05-21T00:00:00-05:00","2013-05-21","1221","1228","1214.25","1220.75","59206","208046"
"zsx13","2013-05-22T00:00:00-05:00","2013-05-22","1222","1239.75","1221","1238.75","59177","210106"
"zsx13","2013-05-23T00:00:00-05:00","2013-05-23","1238","1252.25","1233","1243","85208","212894"
"zsx13","2013-05-24T00:00:00-05:00","2013-05-24","1239.75","1250","1239.25","1247.75","56271","215245"
"zsx13","2013-05-28T00:00:00-05:00","2013-05-28","1250.75","1289","1249.5","1288","89792","214333"
"zsx13","2013-05-29T00:00:00-05:00","2013-05-29","1285","1295","1279","1288.5","67841","218244"
"zsx13","2013-05-30T00:00:00-05:00","2013-05-30","1287.75","1293","1277.5","1289.25","47647","221960"
"zsx13","2013-05-31T00:00:00-05:00","2013-05-31","1288.75","1314.75","1288.75","1304.25","95603","227644"
"zsx13","2013-06-03T00:00:00-05:00","2013-06-03","1300.5","1331.25","1300.5","1325.5","83258","232328"
"zsx13","2013-06-04T00:00:00-05:00","2013-06-04","1324","1324.75","1304","1316","58766","236969"
"zsx13","2013-06-05T00:00:00-05:00","2013-06-05","1316.5","1317","1296.25","1300","77185","243257"
"zsx13","2013-06-06T00:00:00-05:00","2013-06-06","1299","1309","1285.25","1305.75","69171","255118"
